epoch,train_loss,valid_loss,ctc_accuracy,time
0,0.172264,0.174642,0.951634,1:47:28
1,0.103882,0.110927,0.971441,1:47:25
2,0.075039,0.087025,0.978688,1:47:21
3,0.060704,0.073737,0.982717,1:47:26
4,0.051838,0.067934,0.984362,1:47:30
5,0.046155,0.063279,0.985803,1:47:25
6,0.039800,0.058173,0.987179,1:47:25
7,0.037551,0.057349,0.987627,1:47:26
8,0.033899,0.053367,0.988778,1:47:23
9,0.032266,0.052549,0.988962,1:47:22
10,0.029315,0.050537,0.989642,1:47:10
11,0.028791,0.049577,0.990006,1:47:14
